Epoch: 1/200, Duration: 10.746s, Train Loss: 5.3342, Test Loss: 0.8446
Epoch: 2/200, Duration: 6.880s, Train Loss: 2.6930, Test Loss: 0.7400
Epoch: 3/200, Duration: 6.923s, Train Loss: 2.7910, Test Loss: 1.0114
Epoch: 4/200, Duration: 6.890s, Train Loss: 2.6677, Test Loss: 0.8577
Epoch: 5/200, Duration: 6.501s, Train Loss: 2.3444, Test Loss: 0.6809
Epoch: 6/200, Duration: 6.770s, Train Loss: 2.1270, Test Loss: 0.6578
Epoch: 7/200, Duration: 6.561s, Train Loss: 2.0785, Test Loss: 0.6115
Epoch: 8/200, Duration: 6.197s, Train Loss: 2.0457, Test Loss: 0.7374
Epoch: 9/200, Duration: 6.578s, Train Loss: 2.0841, Test Loss: 0.6941
Epoch: 10/200, Duration: 6.107s, Train Loss: 1.9187, Test Loss: 0.6668
Epoch: 11/200, Duration: 6.946s, Train Loss: 1.8824, Test Loss: 0.6590
Epoch: 12/200, Duration: 6.582s, Train Loss: 1.9256, Test Loss: 0.6633
Epoch: 13/200, Duration: 6.825s, Train Loss: 1.9946, Test Loss: 0.8681
Epoch: 14/200, Duration: 6.385s, Train Loss: 2.1150, Test Loss: 1.0765
Epoch: 15/200, Duration: 6.522s, Train Loss: 2.4329, Test Loss: 1.7099
Epoch: 16/200, Duration: 6.518s, Train Loss: 2.5509, Test Loss: 1.3680
Epoch: 17/200, Duration: 6.327s, Train Loss: 2.1433, Test Loss: 0.7234
Epoch: 18/200, Duration: 6.799s, Train Loss: 2.1462, Test Loss: 0.6883
Epoch: 19/200, Duration: 6.760s, Train Loss: 1.7742, Test Loss: 0.6140
Epoch: 20/200, Duration: 6.349s, Train Loss: 1.7428, Test Loss: 0.7029
Epoch: 21/200, Duration: 6.760s, Train Loss: 1.9339, Test Loss: 0.8476
Epoch: 22/200, Duration: 6.786s, Train Loss: 1.9407, Test Loss: 0.7961
Epoch: 23/200, Duration: 6.411s, Train Loss: 1.9663, Test Loss: 0.8379
Epoch: 24/200, Duration: 6.254s, Train Loss: 1.7943, Test Loss: 0.6752
Epoch: 25/200, Duration: 6.684s, Train Loss: 1.9110, Test Loss: 1.0624
Epoch: 26/200, Duration: 6.029s, Train Loss: 1.8976, Test Loss: 0.7575
Epoch: 27/200, Duration: 6.649s, Train Loss: 1.6646, Test Loss: 0.5884
Epoch: 28/200, Duration: 5.858s, Train Loss: 1.7600, Test Loss: 0.7046
Epoch: 29/200, Duration: 6.654s, Train Loss: 1.6993, Test Loss: 0.6480
Epoch: 30/200, Duration: 6.027s, Train Loss: 1.7545, Test Loss: 0.8852
Epoch: 31/200, Duration: 6.702s, Train Loss: 1.8246, Test Loss: 0.8663
Epoch: 32/200, Duration: 6.480s, Train Loss: 1.7589, Test Loss: 0.9233
Epoch: 33/200, Duration: 6.519s, Train Loss: 1.8106, Test Loss: 0.7235
Epoch: 34/200, Duration: 5.952s, Train Loss: 1.7865, Test Loss: 0.8648
Epoch: 35/200, Duration: 6.498s, Train Loss: 1.8263, Test Loss: 0.8356
